frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
224,293,40.423,122.69,2.6,0.3,0,0.67,0.018,3.13,0.573,15.33,64,on_bump
225,294,40.584,111.04,34.81,0.3,0.0087,0.752,0.022,3.29,0.523,15.248,64,on_bump
226,294,40.623,102.53,38.39,0.3,0.157,0.752,0.022,3.29,0.523,15.248,61,on_bump
227,294,40.759,93.01,15.23,0.3,0.1657,0.828,0.026,2.64,0.494,15.172,61,on_bump
228,295,40.827,85.18,67.4,0.3,0.1744,0.851,0.027,2.78,0.468,15.149,62,on_bump
229,296,41.012,77.2,47.04,0.3,-0.0962,0.898,0.032,6.18,0.475,15.102,61,on_bump
230,296,41.069,71.24,56.62,0.3,-0.0875,0.922,0.035,7.45,0.485,15.078,61,on_bump
231,297,41.229,64.74,22.81,0.371,-0.009,1.024,0.051,9.04,0.521,14.977,60,
232,298,41.277,60.35,47.79,0.371,-0.0003,1.024,0.051,9.04,0.521,14.977,60,
233,298,41.445,54.91,19.86,0.354,0.0084,1.074,0.058,7.68,0.504,14.926,60,
234,299,41.513,50.9,67.19,0.354,-0.0527,1.074,0.058,7.68,0.504,14.926,60,
235,300,41.731,46.27,36.16,0.375,-0.044,1.218,0.084,12.4,0.525,14.782,60,
236,300,41.757,45.46,26.04,0.375,-0.0353,1.218,0.084,12.4,0.525,14.782,60,
237,301,41.925,41.51,20.23,0.341,-0.0266,1.266,0.094,10.73,0.491,14.734,60,
238,302,41.969,39.65,43.49,0.341,-0.0179,1.266,0.094,10.73,0.491,14.734,60,
239,303,42.149,36.24,37.09,0.363,-0.0791,1.365,0.112,10.44,0.513,14.635,60,
240,303,42.18,35.79,31.05,0.363,-0.1402,1.365,0.112,10.44,0.513,14.635,63,
241,304,42.352,32.79,37.23,0.379,-0.1315,1.442,0.127,11.4,0.529,14.559,63,
242,304,42.382,32.8,30.23,0.379,-0.1228,1.442,0.127,11.4,0.529,14.559,63,
243,305,42.557,30.09,22.72,0.364,-0.1839,1.52,0.14,8.77,0.514,14.481,60,
244,305,42.581,31.27,23.71,0.364,-0.1752,1.52,0.14,8.77,0.514,14.481,60,
245,306,42.77,28.67,23.39,0.382,-0.1665,1.624,0.149,3.26,0.532,14.377,60,
246,306,42.796,29.7,25.54,0.382,-0.1578,1.624,0.149,3.26,0.532,14.377,60,
247,307,42.958,27.35,17.5,0.387,-0.0793,1.677,0.153,4.04,0.537,14.324,60,
248,308,43.004,26.76,46.37,0.387,-0.1405,1.677,0.153,4.04,0.537,14.324,60,
249,309,43.17,24.69,29.69,0.347,-0.0619,1.779,0.164,6.83,0.497,14.222,61,
250,309,43.218,24.31,47.75,0.347,-0.1231,1.779,0.164,6.83,0.497,14.222,60,
251,310,43.411,22.39,56.65,0.338,-0.1144,1.852,0.17,3.89,0.488,14.149,60,
252,310,43.454,22.51,42.37,0.338,-0.1057,1.852,0.17,3.89,0.488,14.149,60,
253,311,43.621,20.85,27.92,0.366,-0.097,1.954,0.171,0,0.516,14.047,60,
254,311,43.655,21.71,33.82,0.366,-0.0883,1.954,0.171,0,0.516,14.047,60,
255,312,43.824,20.13,22.59,0.392,-0.0796,2.06,0.171,0,0.542,13.941,60,
256,313,43.875,20.07,50.55,0.392,-0.0709,2.06,0.171,0,0.542,13.941,60,
257,313,43.999,18.87,7.84,0.3,0,2.115,0.171,0,0.559,13.886,60,
258,313,44.001,61.5,2.12,0.3,0,2.115,0.171,0,0.559,13.886,60,
259,314,44.152,56.01,11.85,0.3,0,2.2,0.167,-3.12,0.569,13.801,61,
260,314,44.159,66.32,5.52,0.3,0,2.2,0.167,-3.12,0.569,13.801,61,
261,315,44.324,60.29,19.9,0.391,-0.0611,2.283,0.163,-2.69,0.541,13.718,60,
262,316,44.372,56.38,47.06,0.391,-0.0524,2.283,0.163,-2.69,0.541,13.718,60,
263,316,44.524,51.4,16.08,0.356,-0.0437,2.335,0.163,0,0.506,13.666,60,
264,317,44.586,47.87,61.93,0.356,-0.035,2.335,0.163,0,0.506,13.666,60,
265,318,44.741,43.72,30.51,0.366,-0.0264,2.438,0.163,0,0.516,13.563,60,
266,318,44.791,41.35,49.55,0.374,-0.0177,2.464,0.163,0,0.524,13.537,60,
267,319,44.947,37.86,31.34,0.39,-0.009,2.491,0.162,-1.59,0.54,13.51,60,
268,319,44.987,36.58,39.16,0.398,-0.0701,2.519,0.16,-3.37,0.548,13.482,60,
269,320,45.133,33.61,12.68,0.3,0,2.602,0.154,-4.57,0.555,13.399,60,
270,320,45.138,48.76,4.13,0.3,0,2.602,0.154,-4.57,0.555,13.399,60,
271,320,45.277,44.61,11.09,0.3,0,2.687,0.147,-4.65,0.579,13.313,60,
272,320,45.283,57.66,5.43,0.3,0,2.687,0.147,-4.65,0.579,13.313,60,
273,321,45.525,52.31,21.11,0.383,0.0087,2.769,0.143,-2.36,0.533,13.232,60,
274,321,45.544,52.27,19.08,0.383,0.0174,2.769,0.143,-2.36,0.533,13.232,60,
275,322,45.719,47.61,23.15,0.367,0.0261,2.872,0.14,-1.42,0.517,13.128,60,
276,322,45.729,52.81,9.92,0.367,-0.035,2.872,0.14,-1.42,0.517,13.128,60,
277,323,45.924,48.04,31.4,0.386,-0.0264,2.926,0.138,-1.9,0.536,13.075,60,
278,323,45.957,46.24,33.13,0.386,-0.0177,2.926,0.138,-1.9,0.536,13.075,60,
279,324,46.135,42.18,20.69,0.376,-0.009,3.034,0.132,-3.54,0.526,12.967,60,
280,324,46.161,41.91,25.15,0.376,-0.0003,3.034,0.132,-3.54,0.526,12.967,60,
281,325,46.363,38.22,23.41,0.377,0.0084,3.136,0.125,-4.45,0.527,12.864,60,
282,325,46.395,37.47,32.24,0.377,-0.0527,3.136,0.125,-4.45,0.527,12.864,60,
283,326,46.577,34.28,33.29,0.398,-0.044,3.191,0.122,-1.78,0.548,12.81,60,
284,327,46.605,34.35,27.98,0.3,0,3.218,0.122,0,0.557,12.782,60,
285,327,46.792,31.45,17.07,0.3,0,3.331,0.122,0,0.552,12.67,60,
286,327,46.795,61.43,2.85,0.3,0,3.331,0.122,0,0.552,12.67,60,
287,328,46.971,55.85,9.78,0.3,0,3.386,0.122,-1.5,0.552,12.614,60,
288,328,46.977,67.1,5.7,0.3,0,3.386,0.122,-1.5,0.552,12.614,60,
289,329,47.155,60.95,11.41,0.3,0,3.469,0.119,-1.9,0.552,12.532,60,
290,329,47.158,92.76,2.46,0.3,0,3.469,0.119,-1.9,0.552,12.532,60,
291,330,47.362,83.97,39.31,0.386,-0.0611,3.576,0.117,0,0.536,12.424,60,
292,330,47.388,79.4,25.58,0.386,-0.0524,3.576,0.117,0,0.536,12.424,60,
293,331,47.562,72.03,19,0.394,-0.0437,3.63,0.116,-1.26,0.544,12.37,60,
